"CVEGEO","mean_temp_c","min_temp_c","max_temp_c","annual_prec_mm"
"14099",2.06573063635057,0.858399994142594,3.14883871386128,916.258064516129
"14006",1.98176974246376,0.590389476324383,3.30686315235339,910.157894736842
"14029",1.84715858806263,0.431939395991239,3.21069089138147,837.575757575758
"14032",1.80854286466326,0.545342857497079,3.01268570763724,947.857142857143
"14034",2.10756850772434,0.791111119588216,3.33297773996989,823.666666666667
"14036",1.86078630335191,0.52847058913287,3.15183530695298,962.411764705882
"14003",1.96954833984375,0.578319997787476,3.3117200088501,864.8
"14037",2.24693751335144,0.892449986934662,3.45109996795654,872.25
"14039",2.100816655159,0.732649999856949,3.38180003166199,920
"14045",1.99626628330776,0.597219044821603,3.35196190334502,852.47619047619
"14044",1.97393667221069,0.681320004463196,3.26784002304077,883.2
"14050",1.80428645610809,0.618750005960464,3.01057499647141,875.25
"14055",2.06436564922333,0.63870000243187,3.42232496738434,873.75
"14057",1.77781189509801,0.548457132066999,3.00954287392753,902
"14059",1.77008211953299,0.593371428762163,2.89051427841187,901.071428571429
"14046",1.82279569837782,0.196844442685445,3.23918520609538,698.259259259259
"14060",1.87636793576754,0.311999997725854,3.26556921738845,725.538461538462
"14018",1.99975159054711,0.607466670445034,3.33403810773577,808.714285714286
"14063",2.00038612683614,0.647699999809265,3.26876667340597,793.75
"14056",2.31656851874457,1.16678222232395,3.44323555416531,967.311111111111
"14069",1.8589351109096,0.67597142968859,2.96787144797189,863.821428571429
"14072",1.81213056776259,0.388377780384488,3.14622218873766,688.388888888889
"14074",1.7608217048645,0.320039999485016,3.11336000442505,710
"14005",2.21448029604825,0.779309086366133,3.60207273309881,786.090909090909
"14083",1.98478054046631,0.555359996159871,3.35234666824341,763
"14023",1.77033055623372,0.550111111667421,2.87348887125651,983.055555555556
"14085",2.00856595246688,0.810446381223375,3.10226666823677,921.028985507246
"14010",1.55833333730698,0.425374999642372,2.72122498750687,961.1875
"14088",1.86211664974689,0.557049998641014,3.10779997110367,921.875
"14089",1.75782084465027,0.578699994087219,2.92330002784729,826.75
"14017",1.78125936587652,0.497883333762487,2.98025835355123,1089.64583333333
"14090",1.91250952311925,0.535599998065403,3.21300001144409,918.5
"14092",1.98533420562744,0.727031582280209,3.22717891492342,761
"14077",2.00174413568833,0.54112941237057,3.38656468110926,862.411764705882
"14095",2.05910908959129,0.612836369601163,3.42680001692338,799.181818181818
"14051",1.97828810555594,0.653999996185303,3.29194284166609,878.428571428571
"14101",2.05353810446603,0.653199999673026,3.40085705348424,905
"14102",2.19521443684896,0.872693347930908,3.41354665120443,758.6
"14054",2.24582118988037,0.917527276819402,3.46578181873668,811.636363636364
"14106",2.16837650212375,0.9017272754149,3.31949087489735,830.727272727273
"14108",2.19781777064006,0.948799997965495,3.32899998982747,904.833333333333
"14114",1.98455108642578,0.568986666997274,3.33837336222331,779.4
"14115",1.9864186778213,0.53141818335562,3.36004848480225,703.454545454545
"14119",1.95999666690826,0.629800000190735,3.26723998069763,712.1
"14002",1.99027166366577,0.549039998054504,3.37160003662109,778.3
"14122",1.98640001085069,0.812755551603105,3.0292444758945,952.611111111111
"14124",1.98788001469203,0.582605714797974,3.35572572980608,872.228571428571
"14078",1.764354686248,0.288502563574375,3.1415794812716,743.435897435897
"14125",1.7446791489919,0.299099997679392,3.11113330523173,819.833333333333
"14013",1.93252470934833,0.514711113329287,3.27816294917354,831.148148148148
"14081",1.72075207233429,0.301924997568131,3.07010004520416,636.0625
"14041",1.63468199157715,0.224832001209259,2.96407998657227,617.4
"14020",2.2774834828834,1.10666027852934,3.14387673417183,1288.61643835616
"14022",2.55513987685695,1.48617684046427,3.34611950498639,1186.21212121212
"14025",1.77961028603946,0.339458821100347,3.13674116695628,678.205882352941
"14027",2.21429131736218,1.08673239090073,3.19052957884023,1327.71830985915
"14031",1.82327729860942,0.482655558983485,3.13498885366652,838.722222222222
"14033",1.90584092573686,0.522436358711936,3.21616366126321,780
"14035",1.73532239496708,0.254174997843802,3.10263748466969,592.90625
